,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
11,Embekka Devalaya,Temple,Central Province – Kandy District,"7.2089° N, 80.5770° E",Embekka Devalaya is a historic wooden shrine near Kandy famous for its detailed wood carvings and traditional craftsmanship. It is regarded as one of Sri Lanka’s finest examples of medieval wooden architecture.,"Embekka Devalaya was built in the 14th century during the reign of King Vikramabahu III of the Gampola Kingdom. Dedicated to the deity Kataragama Deviyo, the shrine was constructed mainly from wood and features extraordinary carvings depicting dancers, animals, mythical creatures, and floral designs.",King Vikramabahu III,14th century AD (Gampola Period),"Famous Hindu shrine dedicated to Kataragama Deviyo, renowned for exceptional wooden carvings.","Wooden pillars, carved dancers, musicians, mythical creatures, traditional architecture.",8:00 AM – 5:00 PM,1 hour,Approx. USD 2–3,January–April; morning,"Lankatilaka Temple, Gadaladeniya Temple, Peradeniya Gardens, Kandy Lake, Ambuluwawa Tower","Amaya Hills, Earl’s Regency, Theva Residency, Grand Kandyan, Cinnamon Citadel","Balaji Dosai, Empire Cafe, Cafe Secret Garden, Slightly Chilled Lounge, Senani Restaurant", 
12,Horton Plains National Park,National Park,Central Province – Nuwara Eliya District,"6.8028° N, 80.8071° E","Horton Plains National Park is a high-altitude nature reserve in Sri Lanka’s central highlands, famous for grasslands, cloud forests, and unique wildlife. It is a UNESCO World Heritage Site and one of the country’s best destinations for hiking and nature exploration.","The area was declared a wildlife sanctuary in 1969 and upgraded to a national park in 1988. Horton Plains has been protected due to its rich biodiversity, including many endemic species of plants and animals. The region also has historical links to ancient settlements and traditional farming communities of the central highlands.",Established as protected area by Sri Lankan government,National park declared in 1988; natural heritage area,UNESCO World Heritage biodiversity zone containing rare flora and fauna of Sri Lanka’s central highlands.,"Cloud forests, trekking trails, World’s End, Baker’s Falls, wildlife viewing.",6:00 AM – 6:00 PM,4–6 hours,Approx. USD 25–30 + service fees,January–March; early morning (6:00–10:00 AM),"World’s End, Baker’s Falls, Nuwara Eliya, Moon Plains, Hakgala Gardens","Jetwing St Andrew’s, Heritance Tea Factory, Araliya Green Hills, Grand Hotel Nuwara Eliya, The Blackpool Resort","Grand Indian Restaurant, Salmiya Italian Restaurant, De Silva Food Centre, Coffee Bar, Lake View Pub", 
13,World's End,Cliff / Viewpoint,Central Province – Nuwara Eliya District,"6.8147° N, 80.8125° E","World’s End is a dramatic cliff viewpoint located inside Horton Plains National Park, offering a spectacular drop of nearly 870 metres with views across the southern plains. It is one of Sri Lanka’s most famous hiking destinations.",World’s End became internationally recognized through the development of Horton Plains as a protected natural area. The viewpoint has long been valued by local communities for its mountain landscapes and later became a major eco-tourism attraction after the establishment of the national park.,Natural geological formation,Millions of years old natural landscape,Iconic viewpoint representing Sri Lanka’s dramatic mountain landscapes.,"870m cliff drop, panoramic views, hiking trail, sunrise scenery.",6:00 AM – 6:00 PM,3–4 hours,Included with Horton Plains ticket,January–March; before 10:00 AM,"Horton Plains, Baker’s Falls, Gregory Lake, Moon Plains, Hakgala Botanical Garden","Jetwing St Andrew’s, Heritance Tea Factory, Araliya Green Hills, Grand Hotel, Blackpool Resort","Grand Indian Restaurant, Salmiya Restaurant, De Silva Food Centre, Coffee Bar, Lake View Pub", 
14,Baker's Falls,Waterfall,Central Province – Nuwara Eliya District,"6.7932° N, 80.8006° E","Baker’s Falls is a beautiful waterfall located inside Horton Plains National Park, surrounded by misty forests and rocky landscapes. It is named after British explorer and colonial-era figure Samuel Baker.","The waterfall was named after Sir Samuel Baker, a British explorer who travelled extensively in Sri Lanka during the 19th century. The area became more widely known during the British colonial period when Horton Plains was developed for exploration, hunting, and plantation activities.",Named after British explorer Samuel Baker,Natural waterfall,Popular natural attraction inside Horton Plains National Park.,"Waterfall viewpoint, forest scenery, hiking route, photography spots.",6:00 AM – 6:00 PM,30–60 minutes,Included with Horton Plains ticket,January–March; morning,"Horton Plains, World’s End, Nuwara Eliya, Gregory Lake, Moon Plains","Jetwing St Andrew’s, Heritance Tea Factory, Araliya Green Hills, Grand Hotel, Blackpool Resort","Grand Indian Restaurant, Salmiya Restaurant, Lake View Pub, De Silva Food Centre, Coffee Bar", 
15,Ella Rock,Mountain,Uva Province – Badulla District,"6.8667° N, 81.0466° E","Ella Rock is a famous mountain hiking destination offering panoramic views of valleys, forests, and tea plantations. The challenging trail attracts hikers seeking a scenic adventure in Sri Lanka’s hill country.","Ella Rock has been part of the traditional hill-country landscape for centuries, surrounded by tea estates developed during the British colonial period. It became a major tourist attraction with the growth of Ella as a popular hiking and eco-tourism destination.",Natural mountain formation,Geological formation millions of years old,Famous hiking destination offering views of Sri Lanka’s hill country.,"Mountain hike, tea plantations, forest paths, sunrise views, valley panorama.",Open access (daylight recommended),4–5 hours,Free,January–April and July–September; sunrise (5:30–8:00 AM),"Little Adam’s Peak, Nine Arches Bridge, Ravana Falls, Ravana Cave, Ella Town","98 Acres Resort, Mountain Heavens, EKHO Ella, Hotel Onrock, Ella Flower Garden Resort","Cafe Chill, Matey Hut, Adam’s Breeze, AK Ristoro, One Love Restaurant", 
16,Little Adam's Peak,Mountain,Uva Province – Badulla District,"6.8747° N, 81.0608° E","Little Adam’s Peak is a scenic mountain near Ella named because of its resemblance to the sacred Adam’s Peak. It offers an easy hike with beautiful views of tea plantations, valleys, and sunrise landscapes.","The mountain gained its name from its visual similarity to Sri Pada (Adam’s Peak), a major pilgrimage mountain in Sri Lanka. With the rise of Ella tourism, Little Adam’s Peak developed into one of the country’s most visited beginner-friendly hiking locations.",Natural mountain formation,Ancient geological formation,Popular hiking location named after nearby Adam’s Peak due to its similar shape.,"Easy hike, panoramic viewpoint, tea estates, sunrise/sunset views.",Open access,1–2 hours,Free,January–April; sunrise or sunset,"Ella Rock, Nine Arches Bridge, Ravana Falls, Ravana Cave, Ella Spice Garden","98 Acres Resort, EKHO Ella, Mountain Heavens, Ella Flower Garden Resort, Hotel Onrock","Cafe Chill, Matey Hut, AK Ristoro, One Love Restaurant, Dream Cafe", 
17,Nine Arches Bridge,Bridge,Uva Province – Badulla District,"6.8768° N, 81.0605° E","Nine Arches Bridge is a historic railway bridge located between Ella and Demodara, famous for its colonial engineering and scenic surroundings. The bridge is one of Sri Lanka’s most photographed landmarks.","The bridge was constructed during the British colonial period as part of the railway expansion connecting Sri Lanka’s hill country. Built in 1921, it is known for its stone and brick construction without steel reinforcement, showcasing the engineering skills of that era.",Designed during British colonial railway expansion,Built in 1921,Colonial-era railway engineering landmark and photography attraction.,"Stone arches, railway views, jungle surroundings, train photography.",Open access,1 hour,Free,January–April; morning/evening when trains pass,"Little Adam’s Peak, Ella Rock, Ravana Falls, Ella Town, Demodara Loop","98 Acres Resort, EKHO Ella, Mountain Heavens, Ella Flower Garden Resort, Hotel Onrock","Cafe Chill, Matey Hut, Dream Cafe, AK Ristoro, One Love Restaurant", 
18,Ravana Falls,Waterfall,Uva Province – Badulla District,"6.8394° N, 81.0612° E","Ravana Falls is one of Sri Lanka’s most popular waterfalls, located near Ella and surrounded by lush mountain scenery. It is associated with the legendary King Ravana from the Ramayana epic.","The waterfall takes its name from King Ravana, a legendary ruler mentioned in the Ramayana tradition. Local folklore connects the caves and surrounding areas with stories of Ravana and Sita, although these links are based mainly on mythology rather than archaeological evidence.",Natural waterfall,Natural formation,Associated with the legend of King Ravana from the Ramayana epic.,"Multi-level waterfall, swimming area (conditions permitting), viewpoints, photography.",Open access (daylight recommended),30–60 minutes,Free,January–April; morning or afternoon,"Ravana Cave, Ella Rock, Little Adam’s Peak, Nine Arches Bridge, Ella Town","98 Acres Resort, EKHO Ella, Mountain Heavens, Hotel Onrock, Ella Flower Garden Resort","Cafe Chill, Matey Hut, Adam’s Breeze, AK Ristoro, One Love Restaurant", 
19,Ravana Cave,Cave,Uva Province – Badulla District,"6.8396° N, 81.0572° E","Ravana Cave is an ancient cave site located near Ella, traditionally associated with the legend of King Ravana and Queen Sita. The cave attracts visitors interested in history, mythology, and adventure.","According to local legends, Ravana Cave was one of the places connected with King Ravana’s kingdom and the Ramayana story. Archaeological evidence suggests that caves in this region were used by prehistoric humans and later by Buddhist monks as meditation sites.",Ancient natural cave; linked with Ravana legend,Ancient geological site; historical associations,Mythological site connected with the Ramayana tradition.,"Cave chambers, forest trail, archaeological remains, viewpoint.",8:00 AM – 5:00 PM,1–2 hours,Approx. USD 2,January–April; morning,"Ravana Falls, Ella Rock, Little Adam’s Peak, Nine Arches Bridge, Ella Town","98 Acres Resort, EKHO Ella, Mountain Heavens, Hotel Onrock, Ella Flower Garden Resort","Cafe Chill, Matey Hut, Dream Cafe, AK Ristoro, One Love Restaurant", 
20,Diyaluma Falls,Waterfall,Uva Province – Badulla District,"6.7337° N, 81.0350° E","Diyaluma Falls is Sri Lanka’s second-highest waterfall, famous for its spectacular height, natural pools, and panoramic mountain views. It is a popular destination for hiking, swimming, and photography.","Diyaluma Falls has existed as part of the natural landscape of the Koslanda region for centuries. The name is traditionally interpreted from Sinhala as meaning “rapid flow of water,” and the waterfall became widely known through the development of hill-country tourism.",Natural waterfall,Ancient geological formation,Sri Lanka’s second-highest waterfall and a major nature attraction.,"Upper pools, infinity pools, hiking trails, panoramic views, photography.",Open access (daylight recommended),3–5 hours,Free,January–April; early morning,"Koslanda, Lipton’s Seat, Bambarakanda Falls, Ella, Ravana Falls","Melheim Resort, Koslanda Rest, The Planter’s Bungalow, 98 Acres Resort, EKHO Ella","Cafe Chill, Matey Hut, Lakmini Restaurant, AK Ristoro, One Love Restaurant", 
21,Lipton's Seat,Viewpoint,Uva Province – Badulla District,"6.7315° N, 81.0355° E","Lipton’s Seat is a famous viewpoint located in the Haputale tea country, offering breathtaking views across several provinces of Sri Lanka. It is surrounded by beautiful tea plantations and is one of the most scenic locations in the hill country.","Lipton’s Seat was named after Sir Thomas Lipton, a Scottish tea entrepreneur who developed tea plantations in the region during the British colonial period. The viewpoint was reportedly one of his favourite locations to observe his vast tea estates.",Developed by Sir Thomas Lipton (Scottish tea planter),Late 19th century (British Colonial period),Symbolizes Sri Lanka’s colonial tea industry and plantation heritage.,"Mountain viewpoint, tea estates, sunrise views, panoramic hill-country scenery.",6:00 AM – 6:00 PM,1–2 hours,Approx. USD 2–3,January–April; sunrise (6:00–8:00 AM),"Dambatenne Tea Factory, Haputale Town, Adisham Bungalow, Diyaluma Falls, Bambarakanda Falls","Melheim Resort, The Glenross, Jetwing Warwick Gardens, Olympus Plaza Hotel, Vantage Hills Haputale","Risara Restaurant, Royal Top Restaurant, Lettuce & Cabbage, Sunrise Restaurant, Glace Café", 
22,Bambarakanda Falls,Waterfall,Sabaragamuwa Province – Ratnapura District,"6.7697° N, 80.8298° E","Bambarakanda Falls is the tallest waterfall in Sri Lanka, surrounded by pine forests and mountain landscapes near Kalupahana. It is a popular attraction for nature lovers and photographers.",The waterfall has been part of the natural landscape of the central highlands for centuries. It became more widely recognized during the development of hill-country tourism and road networks during and after the colonial period.,Natural waterfall,Geological formation millions of years old,Sri Lanka’s tallest waterfall and an important natural landmark.,"Waterfall viewpoint, forest trails, swimming areas, mountain scenery.",Open access (daylight recommended),1–2 hours,Free,January–April; morning,"Horton Plains, Diyaluma Falls, Lipton’s Seat, Haputale, Adisham Bungalow","The Capoe House, Melheim Resort, Vantage Hills Haputale, The Glenross, Olympus Plaza","Risara Restaurant, Sunrise Restaurant, Royal Top Restaurant, Glace Café, Lettuce & Cabbage", 
23,Adam's Peak (Sri Pada),Sacred Mountain,Sabaragamuwa Province – Ratnapura District,"6.8096° N, 80.4994° E","Adam’s Peak is one of Sri Lanka’s most sacred mountains, famous for the sacred footprint at its summit and its annual pilgrimage season. The mountain is revered by Buddhists, Hindus, Christians, and Muslims.","Sri Pada has been a major pilgrimage site for over 1,000 years. Buddhists believe the footprint belongs to Lord Buddha, Hindus associate it with Lord Shiva, and other religious traditions connect it with Adam or Saint Thomas. Ancient kings supported pilgrimage routes and built facilities for devotees.",Ancient Buddhist shrine developed by successive kings,Ancient pilgrimage site; documented from early centuries AD,"Sacred mountain revered by Buddhists, Hindus, Muslims, and Christians.","Sacred footprint shrine, pilgrimage trail, sunrise view, mountain landscape.",Pilgrimage season: December–May (24 hours during season),5–8 hours (climb),Free,December–April; climb overnight for sunrise (2:00–6:00 AM summit),"Maskeliya, Nallathanniya, Maussakelle Reservoir, Laxapana Falls, Horton Plains","Slightly Chilled Cottage, White House Adam’s Peak, Grand Adams Peak, Daddy’s Guest Home, Wathsala Inn","Adams Peak Restaurant, Golden Spoon Restaurant, The Mango Tree, Tea Breeze, Nallathanniya Food Centre", 
24,Seetha Amman Temple,Temple,Central Province – Nuwara Eliya District,"6.9497° N, 80.8088° E","Seetha Amman Temple is a Hindu temple located near Nuwara Eliya, traditionally associated with the Ramayana legend of Sita. It is an important pilgrimage site for Hindu visitors.","The temple is believed by tradition to be located near the place where Queen Sita was held captive by King Ravana according to the Ramayana epic. The present temple was developed in modern times, while the surrounding area has long been connected with Hindu religious legends.",Hindu devotees; traditional temple site,Modern temple; linked to ancient Ramayana traditions,Important Hindu pilgrimage site associated with Goddess Sita and Ramayana legends.,"Sita shrine, Ashoka garden area, sacred stream, temple sculptures.",7:00 AM – 6:00 PM,1 hour,Free / Donation,January–April; morning,"Hakgala Botanical Garden, Gregory Lake, Victoria Park, Pedro Tea Estate, Nuwara Eliya","Heritance Tea Factory, Grand Hotel Nuwara Eliya, Jetwing St Andrew’s, Araliya Green Hills, Araliya Red","Grand Indian Restaurant, Salmiya Italian Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
25,Hakgala Botanical Garden,Botanical Garden,Central Province – Nuwara Eliya District,"6.9271° N, 80.8194° E","Hakgala Botanical Garden is one of Sri Lanka’s most beautiful gardens, known for temperate plants, flowers, orchids, and scenic mountain surroundings. It is located near Nuwara Eliya and attracts many nature enthusiasts.","Hakgala was established in 1861 during the British colonial period as an experimental cinchona plantation for quinine production. Later it was transformed into a botanical garden focusing on ornamental plants, research, and conservation.",Established by British colonial government,1861 AD,Important botanical garden showcasing Sri Lanka’s highland plant diversity.,"Rose garden, orchids, Japanese garden, exotic plants, mountain scenery.",8:00 AM – 5:30 PM,2–3 hours,Approx. USD 10–15,March–April; morning,"Seetha Amman Temple, Gregory Lake, Victoria Park, Pedro Tea Estate, Moon Plains","Heritance Tea Factory, Grand Hotel Nuwara Eliya, Araliya Green Hills, Jetwing St Andrew’s, Blackpool Resort","Grand Indian Restaurant, Salmiya Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
26,Gregory Lake,Lake,Central Province – Nuwara Eliya District,"6.9606° N, 80.7785° E","Gregory Lake is a scenic artificial lake in the heart of Nuwara Eliya, surrounded by mountains and gardens. It is popular for boating, cycling, walking, and family activities.",The lake was created in 1873 during British colonial rule under Governor Sir William Gregory. It was developed as part of Nuwara Eliya’s transformation into a colonial hill resort and recreational destination.,Built by Sir William Gregory (British Governor),1873 AD,Historic colonial-era lake and recreational landmark of Nuwara Eliya.,"Boat rides, walking paths, gardens, water activities, mountain views.",8:00 AM – 6:00 PM,1–2 hours,Approx. USD 3–5,March–May and December; afternoon/evening,"Victoria Park, Moon Plains, Hakgala Gardens, Pedro Tea Estate, Lover’s Leap Waterfall","Grand Hotel Nuwara Eliya, Araliya Green Hills, Jetwing St Andrew’s, Heritance Tea Factory, Blackpool Resort","Grand Indian Restaurant, Salmiya Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
