Activity_ID,Name,District,Category,Description,Latitude,Longitude,Opening_Hours,Price_Level,Suitable_For,Duration_Hours
ACT_00100,Kurunegala Meditation Session 0100,Kurunegala,Wellness,Wellness activity in Kurunegala suitable for kids travelers.,7.451104,80.36352,09:00-18:00,Medium,Kids,5
ACT_00101,Kilinochchi Lagoon Boat Ride 0101,Kilinochchi,Beach,Beach activity in Kilinochchi suitable for kids travelers.,9.359148,80.360139,05:30-20:00,Low,Kids,4
ACT_00102,Kilinochchi Hiking 0102,Kilinochchi,Adventure,Adventure activity in Kilinochchi suitable for couple travelers.,9.409039,80.411067,10:00-22:00,Low,Couple,1
ACT_00103,Nuwara Eliya Rock Climbing 0103,Nuwara Eliya,Adventure,Adventure activity in Nuwara Eliya suitable for family travelers.,6.974262,80.847544,08:00-17:00,Low,Family,2
ACT_00104,Negombo Bird Watching 0104,Negombo,Nature,Nature activity in Negombo suitable for adventure travelers.,7.245972,79.863549,09:00-18:00,High,Adventure,2
ACT_00105,Ampara Spa Treatment 0105,Ampara,Wellness,Wellness activity in Ampara suitable for kids travelers.,7.337186,81.705315,09:00-18:00,High,Kids,6
ACT_00106,Ratnapura Church Heritage Visit 0106,Ratnapura,Religious,Religious activity in Ratnapura suitable for family travelers.,6.727367,80.353772,10:00-22:00,Medium,Family,4
ACT_00107,Polonnaruwa Elephant Watching 0107,Polonnaruwa,Wildlife,Wildlife activity in Polonnaruwa suitable for solo travelers.,7.87043,81.0919,06:00-18:00,High,Solo,4
ACT_00108,Batticaloa Spa Treatment 0108,Batticaloa,Wellness,Wellness activity in Batticaloa suitable for couple travelers.,7.653129,81.711725,24 Hours,Low,Couple,4
ACT_00109,Batticaloa Safari Ride 0109,Batticaloa,Adventure,Adventure activity in Batticaloa suitable for kids travelers.,7.643491,81.658061,24 Hours,Low,Kids,2
ACT_00110,Polonnaruwa Waterfall Visit 0110,Polonnaruwa,Nature,Nature activity in Polonnaruwa suitable for group travelers.,7.892612,81.085803,06:00-18:00,Low,Group,2
ACT_00111,Vavuniya Seafood Experience 0111,Vavuniya,Food,Food activity in Vavuniya suitable for kids travelers.,8.714522,80.459794,24 Hours,Low,Kids,2
ACT_00112,Batticaloa National Park Safari 0112,Batticaloa,Wildlife,Wildlife activity in Batticaloa suitable for adventure travelers.,7.681756,81.654335,08:00-17:00,High,Adventure,3
ACT_00113,Mannar Rock Climbing 0113,Mannar,Adventure,Adventure activity in Mannar suitable for couple travelers.,8.902701,79.845858,06:00-18:00,High,Couple,4
ACT_00114,Matara Sunset Walk 0114,Matara,Beach,Beach activity in Matara suitable for couple travelers.,6.033359,80.542842,05:30-20:00,Low,Couple,5
ACT_00115,Mannar Wellness Retreat 0115,Mannar,Wellness,Wellness activity in Mannar suitable for senior travelers.,8.937244,79.853869,10:00-22:00,Low,Senior,5
ACT_00116,Polonnaruwa Temple Visit 0116,Polonnaruwa,Culture,Culture activity in Polonnaruwa suitable for kids travelers.,8.005609,81.064842,06:00-18:00,Low,Kids,1
ACT_00117,Anuradhapura Wellness Retreat 0117,Anuradhapura,Wellness,Wellness activity in Anuradhapura suitable for family travelers.,8.296386,80.376467,05:30-20:00,Medium,Family,1
ACT_00118,Jaffna Waterfall Visit 0118,Jaffna,Nature,Nature activity in Jaffna suitable for solo travelers.,9.599694,80.105041,10:00-22:00,Low,Solo,2
ACT_00119,Jaffna Zipline 0119,Jaffna,Adventure,Adventure activity in Jaffna suitable for solo travelers.,9.648222,79.965714,10:00-22:00,Low,Solo,6
ACT_00120,Ella Traditional Village Visit 0120,Ella,Culture,Culture activity in Ella suitable for adventure travelers.,6.927654,80.983999,08:00-17:00,High,Adventure,2
ACT_00121,Ella Traditional Village Visit 0121,Ella,Culture,Culture activity in Ella suitable for kids travelers.,6.896462,81.047604,24 Hours,Low,Kids,1
ACT_00122,Kandy Botanical Garden Walk 0122,Kandy,Nature,Nature activity in Kandy suitable for family travelers.,7.232739,80.638457,24 Hours,High,Family,6
ACT_00123,Trincomalee Museum Tour 0123,Trincomalee,Culture,Culture activity in Trincomalee suitable for family travelers.,8.538129,81.149573,05:30-20:00,Medium,Family,4
ACT_00124,Batticaloa Heritage Walk 0124,Batticaloa,Culture,Culture activity in Batticaloa suitable for group travelers.,7.677706,81.641057,08:00-17:00,Low,Group,4
ACT_00125,Negombo Cycling Tour 0125,Negombo,Adventure,Adventure activity in Negombo suitable for adventure travelers.,7.133844,79.897015,08:00-17:00,Medium,Adventure,2
ACT_00126,Polonnaruwa Beach Relaxation 0126,Polonnaruwa,Beach,Beach activity in Polonnaruwa suitable for adventure travelers.,7.997496,81.09047,24 Hours,Low,Adventure,6
ACT_00127,Kilinochchi Pilgrimage Walk 0127,Kilinochchi,Religious,Religious activity in Kilinochchi suitable for senior travelers.,9.454199,80.368094,24 Hours,Medium,Senior,1
ACT_00128,Colombo National Park Safari 0128,Colombo,Wildlife,Wildlife activity in Colombo suitable for solo travelers.,6.974279,79.849432,08:00-17:00,Medium,Solo,3
ACT_00129,Trincomalee Hiking 0129,Trincomalee,Adventure,Adventure activity in Trincomalee suitable for senior travelers.,8.589293,81.218999,10:00-22:00,Medium,Senior,2
ACT_00130,Colombo Buddhist Temple Tour 0130,Colombo,Religious,Religious activity in Colombo suitable for kids travelers.,6.985783,79.794615,24 Hours,Low,Kids,3
ACT_00131,Galle Lagoon Boat Ride 0131,Galle,Beach,Beach activity in Galle suitable for solo travelers.,5.996406,80.279868,05:30-20:00,Medium,Solo,5
ACT_00132,Ampara Surfing Lesson 0132,Ampara,Beach,Beach activity in Ampara suitable for family travelers.,7.240643,81.605274,05:30-20:00,Medium,Family,4
ACT_00133,Kandy Yoga Morning 0133,Kandy,Wellness,Wellness activity in Kandy suitable for solo travelers.,7.295541,80.654949,06:00-18:00,Medium,Solo,4
ACT_00134,Kilinochchi Church Heritage Visit 0134,Kilinochchi,Religious,Religious activity in Kilinochchi suitable for group travelers.,9.457864,80.347062,05:30-20:00,Medium,Group,5
ACT_00135,Mullaitivu Tea Estate Tour 0135,Mullaitivu,Nature,Nature activity in Mullaitivu suitable for adventure travelers.,9.315855,80.78853,08:00-17:00,Low,Adventure,3
ACT_00136,Vavuniya Church Heritage Visit 0136,Vavuniya,Religious,Religious activity in Vavuniya suitable for kids travelers.,8.68072,80.441579,06:00-18:00,Low,Kids,2
ACT_00137,Colombo Snorkeling 0137,Colombo,Beach,Beach activity in Colombo suitable for couple travelers.,6.939847,79.84076,08:00-17:00,Low,Couple,6
ACT_00138,Puttalam National Park Safari 0138,Puttalam,Wildlife,Wildlife activity in Puttalam suitable for senior travelers.,8.083826,79.836931,05:30-20:00,Medium,Senior,4
ACT_00139,Matara Meditation Session 0139,Matara,Wellness,Wellness activity in Matara suitable for adventure travelers.,5.897334,80.583328,24 Hours,Low,Adventure,5
ACT_00140,Nuwara Eliya Spa Treatment 0140,Nuwara Eliya,Wellness,Wellness activity in Nuwara Eliya suitable for couple travelers.,6.909133,80.819946,09:00-18:00,High,Couple,3
ACT_00141,Puttalam Botanical Garden Walk 0141,Puttalam,Nature,Nature activity in Puttalam suitable for adventure travelers.,7.979212,79.752367,05:30-20:00,Medium,Adventure,3
ACT_00142,Kalutara Spice Garden Visit 0142,Kalutara,Food,Food activity in Kalutara suitable for solo travelers.,6.567971,79.935741,05:30-20:00,Medium,Solo,1
ACT_00143,Puttalam Elephant Watching 0143,Puttalam,Wildlife,Wildlife activity in Puttalam suitable for solo travelers.,8.064622,79.864118,24 Hours,High,Solo,6
ACT_00144,Ampara Spa Treatment 0144,Ampara,Wellness,Wellness activity in Ampara suitable for senior travelers.,7.299502,81.615615,24 Hours,Medium,Senior,3
ACT_00145,Vavuniya Wellness Retreat 0145,Vavuniya,Wellness,Wellness activity in Vavuniya suitable for kids travelers.,8.689745,80.539618,24 Hours,Medium,Kids,6
ACT_00146,Matale Pilgrimage Walk 0146,Matale,Religious,Religious activity in Matale suitable for solo travelers.,7.45402,80.697639,08:00-17:00,High,Solo,3
ACT_00147,Matale Forest Trail 0147,Matale,Nature,Nature activity in Matale suitable for couple travelers.,7.442442,80.585224,10:00-22:00,Low,Couple,1
ACT_00148,Hambantota Waterfall Visit 0148,Hambantota,Nature,Nature activity in Hambantota suitable for adventure travelers.,6.045852,81.098009,10:00-22:00,Low,Adventure,5
ACT_00149,Nuwara Eliya Botanical Garden Walk 0149,Nuwara Eliya,Nature,Nature activity in Nuwara Eliya suitable for family travelers.,7.010055,80.738223,10:00-22:00,Low,Family,1
ACT_00150,Kalutara Buddhist Temple Tour 0150,Kalutara,Religious,Religious activity in Kalutara suitable for group travelers.,6.597084,79.987389,05:30-20:00,Medium,Group,3
ACT_00151,Nuwara Eliya Surfing Lesson 0151,Nuwara Eliya,Beach,Beach activity in Nuwara Eliya suitable for family travelers.,6.933633,80.860712,08:00-17:00,Medium,Family,5
ACT_00152,Monaragala Snorkeling 0152,Monaragala,Beach,Beach activity in Monaragala suitable for senior travelers.,6.828731,81.34296,05:30-20:00,High,Senior,4
ACT_00153,Matale Street Food Tour 0153,Matale,Food,Food activity in Matale suitable for solo travelers.,7.475751,80.633021,09:00-18:00,High,Solo,1
ACT_00154,Anuradhapura Waterfall Visit 0154,Anuradhapura,Nature,Nature activity in Anuradhapura suitable for senior travelers.,8.383305,80.364242,09:00-18:00,High,Senior,1
ACT_00155,Ampara Beach Relaxation 0155,Ampara,Beach,Beach activity in Ampara suitable for adventure travelers.,7.349599,81.669314,06:00-18:00,Low,Adventure,3
ACT_00156,Polonnaruwa Ayurveda Session 0156,Polonnaruwa,Wellness,Wellness activity in Polonnaruwa suitable for adventure travelers.,7.912435,81.010306,08:00-17:00,Low,Adventure,4
ACT_00157,Ella Cycling Tour 0157,Ella,Adventure,Adventure activity in Ella suitable for couple travelers.,6.907705,81.048717,10:00-22:00,High,Couple,5
ACT_00158,Ella Surfing Lesson 0158,Ella,Beach,Beach activity in Ella suitable for group travelers.,6.906062,81.029169,06:00-18:00,High,Group,5
ACT_00159,Matale Meditation Session 0159,Matale,Wellness,Wellness activity in Matale suitable for group travelers.,7.495349,80.625645,05:30-20:00,High,Group,2
ACT_00160,Puttalam Hindu Temple Visit 0160,Puttalam,Religious,Religious activity in Puttalam suitable for family travelers.,8.043634,79.756564,06:00-18:00,Medium,Family,6
ACT_00161,Mannar Hindu Temple Visit 0161,Mannar,Religious,Religious activity in Mannar suitable for senior travelers.,8.959266,79.964327,06:00-18:00,Medium,Senior,3
ACT_00162,Jaffna Elephant Watching 0162,Jaffna,Wildlife,Wildlife activity in Jaffna suitable for family travelers.,9.624479,80.100695,05:30-20:00,Low,Family,2
ACT_00163,Vavuniya Whale Watching 0163,Vavuniya,Wildlife,Wildlife activity in Vavuniya suitable for adventure travelers.,8.732498,80.453521,05:30-20:00,Medium,Adventure,2
ACT_00164,Kilinochchi Street Food Tour 0164,Kilinochchi,Food,Food activity in Kilinochchi suitable for family travelers.,9.317204,80.363978,24 Hours,High,Family,2
ACT_00165,Monaragala Ancient City Tour 0165,Monaragala,Culture,Culture activity in Monaragala suitable for couple travelers.,6.866989,81.274687,09:00-18:00,Low,Couple,3
