route_code,route_name,road_segment,gradient,terrain,road_surface,elevation,friction,road_width,hazard_type,risk_factor,season,historical_occurrence_count,severity_level,risk_level,road_data_available,match_type,source_repaired
A26,A26 Kandy-Mahiyangana (Bend 16),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Nov-Feb,80,Medium,Medium,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 17),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,51,High,High,0,no-road-data,0
A5,A5 Ramboda Pass (KM 40-42),A5 Peradeniya-Badulla Segment 40,2.0,Flat,Aspalt - Good,75.0,0.75,Medium,Landslide,Steep Gradient,May-Jul (Monsoon),18,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 42-44),A5 Peradeniya-Badulla Segment 42,2.0,Flat,Aspalt - Fair,50.0,0.64,Wide,Heavy Mist,Poor Visibility,Year-round,150,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 44-46),A5 Peradeniya-Badulla Segment 44,2.0,Flat,Aspalt - Good,35.0,0.74,Wide,Rock Fall,Highly Weathered Rock,May-Jul (Monsoon),24,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 46-48),A5 Peradeniya-Badulla Segment 46,2.0,Flat,Aspalt - Fair,25.0,0.63,Medium,Earthslip,Deforestation,May-Jul (Monsoon),12,Medium,Medium,1,exact,0
A5,A5 Ramboda Pass (KM 48-50),A5 Peradeniya-Badulla Segment 48,2.0,Flat,Aspalt - Good,18.0,0.75,Medium,Heavy Mist,High Altitude,Year-round,180,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 50-52),A5 Peradeniya-Badulla Segment 50,2.0,Flat,Aspalt - Fair,14.0,0.65,Wide,Accident Blackspot,Wet Surface,May-Jul (Monsoon),65,Medium,Medium,1,exact,0
A5,A5 Ramboda Pass (KM 52-54),A5 Peradeniya-Badulla Segment 52,2.0,Flat,Aspalt - Good,10.0,0.77,Wide,Landslide,Unstable Topsoil,May-Jul (Monsoon),14,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 54-56),A5 Peradeniya-Badulla Segment 54,2.0,Coastal,Aspalt - Fair,7.0,0.66,Medium,Heavy Mist,Poor Visibility,Year-round,160,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 56-58),A5 Peradeniya-Badulla Segment 56,2.0,Coastal,Aspalt - Good,5.0,0.79,Wide,Rock Fall,Loose Boulders,May-Jul (Monsoon),9,Medium,Medium,1,exact,0
A5,A5 Ramboda Pass (KM 58-60),A5 Peradeniya-Badulla Segment 58,2.0,Coastal,Aspalt - Fair,4.0,0.67,Wide,Flash Flood,Poor Drainage,May-Jul (Monsoon),5,Low,Low,1,exact,0
A5,A5 Ramboda Pass (KM 60-62),A5 Peradeniya-Badulla Segment 60,2.0,Coastal,Aspalt - Good,3.0,0.8,Wide,Accident Blackspot,Sharp Bend,Year-round,55,Medium,Medium,1,exact,0
A5,A5 Ramboda Pass (KM 62-64),A5 Peradeniya-Badulla Segment 62,2.0,Coastal,Aspalt - Fair,2.0,0.68,Medium,Earthslip,Saturated Soil,May-Jul (Monsoon),21,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 64-66),A5 Peradeniya-Badulla Segment 64,1.0,Coastal,Aspalt - Good,2.0,0.82,Wide,Heavy Mist,High Altitude,Year-round,140,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 66-68),A5 Peradeniya-Badulla Segment 66,1.0,Coastal,Aspalt - Fair,2.0,0.65,Wide,Rock Fall,Weathered Rock,May-Jul (Monsoon),16,Medium,Medium,1,exact,0
A5,A5 Ramboda Pass (KM 68-70),A5 Peradeniya-Badulla Segment 68,1.0,Coastal,Concrete,5.0,0.79,Wide,Accident Blackspot,Steep Gradient,Year-round,61,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 70-72),A5 Peradeniya-Badulla Segment 70,3.0,Flat,Aspalt - Fair,10.0,0.63,Medium,Heavy Mist,High Altitude,Year-round,135,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 72-74),A5 Peradeniya-Badulla Segment 72,1.0,Flat,Aspalt - Good,18.0,0.75,Wide,Landslide,Poor Drainage,May-Jul (Monsoon),11,Medium,Medium,1,exact,0
A5,A5 Ramboda Pass (KM 74-76),A5 Peradeniya-Badulla Segment 74,3.0,Flat,Aspalt - Good,28.0,0.73,Wide,Earthslip,Deforestation,May-Jul (Monsoon),25,High,High,1,exact,0
A5,A5 Ramboda Pass (KM 76-78),A5 Peradeniya-Badulla Segment 76,2.0,Flat,Aspalt - Good,40.0,0.74,Wide,Accident Blackspot,Sharp Bend,Year-round,49,Medium,Medium,1,exact,0
A7,A7 Hatton-Nuwara Eliya (KM 40-42),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Slope Failure,May-Jul (Monsoon),21,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 42-44),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Soil Saturation,May-Jul (Monsoon),19,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 44-46),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Structural Fissures,May-Jul (Monsoon),27,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 46-48),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Steep Gradient,May-Jul (Monsoon),33,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 48-50),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,High Altitude,Year-round,85,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 50-52),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,64,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 52-54),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Residual Soil,May-Jul (Monsoon),14,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 54-56),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Exposed Bedrock,May-Jul (Monsoon),12,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 56-58),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Residual Soil,May-Jul (Monsoon),16,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 58-60),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Poor Drainage,May-Jul (Monsoon),6,Low,Low,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 60-62),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Wet Surface,May-Jul (Monsoon),48,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 62-64),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Slope Erosion,May-Jul (Monsoon),15,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 64-66),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Year-round,145,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 66-68),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Steep Gradient,Year-round,72,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 68-70),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Historical Failure,May-Jul (Monsoon),42,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 70-72),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Year-round,110,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 72-74),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Unstable Topsoil,May-Jul (Monsoon),18,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 74-76),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,58,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 76-78),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Weathered Rock,May-Jul (Monsoon),9,Low,Low,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 78-80),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,High Altitude,Year-round,125,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 80-82),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Colluvium Soil,May-Jul (Monsoon),25,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 82-84),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,High Speed,Year-round,68,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 84-86),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Residual Soil,May-Jul (Monsoon),12,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 86-88),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Year-round,125,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 88-90),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Wet Surface,May-Jul (Monsoon),50,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 90-92),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Structural Fissures,May-Jul (Monsoon),19,Medium,Medium,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 92-94),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Slope Failure,May-Jul (Monsoon),30,High,High,0,no-road-data,0
A7,A7 Hatton-Nuwara Eliya (KM 94-96),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Year-round,115,High,High,0,no-road-data,0
A16,A16 Beragala-Haputale (KM 1-3),A16 Beragala-Haputale Segment 1,8.0,Mountainous,Aspalt - Good,1020.0,0.68,Medium,Heavy Mist,High Altitude,Oct-Dec (Monsoon),90,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 3-5),A16 Beragala-Haputale Segment 3,11.0,Mountainous,Concrete,1075.0,0.78,Narrow,Earthslip,Steep Gradient,Oct-Dec (Monsoon),19,High,High,1,exact,0
A16,A16 Beragala-Haputale (KM 5-7),A16 Beragala-Haputale Segment 5,14.0,Mountainous,Concrete,1150.0,0.8,Narrow,Rock Fall,Loose Boulders,Oct-Dec (Monsoon),11,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 7-9),A16 Beragala-Haputale Segment 7,15.0,Mountainous,Aspalt - Fair,1245.0,0.49,Narrow,Accident Blackspot,Sharp Bend,Year-round,47,High,High,1,exact,0
A16,A16 Beragala-HaliEla (KM 9-11),A16 Beragala-Haputale Segment 9,17.0,Mountainous,Gravel,1360.0,0.4,Narrow,Landslide,Head Scarp,Oct-Dec (Monsoon),28,High,High,1,exact,0
A16,A16 Beragala-HaliEla (KM 11-13),A16 Beragala-Haputale Segment 11,16.0,Mountainous,Aspalt - Good,1400.0,0.64,Medium,Earthslip,Soil Saturation,Oct-Dec (Monsoon),14,Medium,Medium,1,exact,0
A16,A16 Beragala-HaliEla (KM 13-15),A16 Beragala-Haputale Segment 13,12.0,Mountainous,Concrete,1335.0,0.77,Narrow,Heavy Mist,Poor Visibility,Oct-Feb,130,High,High,1,exact,0
A16,A16 Beragala-HaliEla (KM 15-17),A16 Beragala-Haputale Segment 15,9.0,Mountainous,Aspalt - Fair,1250.0,0.54,Narrow,Accident Blackspot,Steep Gradient,Year-round,52,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 17-19),A16 Beragala-Haputale Segment 17,7.0,Mountainous,Aspalt - Good,1145.0,0.69,Medium,Heavy Mist,High Altitude,Oct-Feb,66,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 19-21),A16 Beragala-Haputale Segment 19,5.0,Hilly,Aspalt - Good,1020.0,0.71,Medium,Earthslip,Soil Saturation,Oct-Dec (Monsoon),15,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 21-23),A16 Beragala-Haputale Segment 21,5.0,Hilly,Aspalt - Fair,1000.0,0.6,Medium,Rock Fall,Loose Boulders,Oct-Dec (Monsoon),12,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 23-25),A16 Beragala-Haputale Segment 23,8.0,Mountainous,Aspalt - Good,1055.0,0.68,Medium,Accident Blackspot,Sharp Bend,Year-round,49,High,High,1,exact,0
A16,A16 Beragala-Haputale (KM 25-27),A16 Beragala-Haputale Segment 25,11.0,Mountainous,Concrete,1125.0,0.79,Narrow,Earthslip,Steep Gradient,Oct-Dec (Monsoon),18,Medium,Medium,1,exact,0
A16,A16 Beragala-Haputale (KM 27-29),A16 Beragala-Haputale Segment 27,12.0,Mountainous,Gravel,1205.0,0.44,Narrow,Heavy Mist,Poor Visibility,Oct-Feb,45,Low,Low,1,exact,0
A23,A23 Ella-Wellawaya (KM 1-3),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Oct-Jan,85,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 3-5),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,73,High,High,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 5-7),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Exposed Bedrock,Oct-Jan,16,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 7-9),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Unstable Topsoil,Oct-Jan,12,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 9-11),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Straight to Curve,Year-round,38,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 11-13),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Unstable Topsoil,Oct-Jan,31,High,High,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 13-15),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Poor Drainage,Oct-Jan,10,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 15-17),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Steep Gradient,Year-round,66,High,High,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 17-19),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Colluvium Soil,Oct-Jan,14,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 19-21),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Oct-Jan,40,Low,Low,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 21-23),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Speeding,Year-round,44,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 23-25),No Road Data Available,,Unknown,Unknown,,,Unknown,Elephant Crossing,Proximity to Park,Year-round,22,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 25-27),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Straight to Curve,Year-round,48,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 27-29),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Seasonal Streams,Oct-Jan,7,Low,Low,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 29-31),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Straight Road,Year-round,42,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 31-33),No Road Data Available,,Unknown,Unknown,,,Unknown,Elephant Crossing,Wildlife Corridor,Year-round,18,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 33-35),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Poor Drainage,Oct-Jan,9,Low,Low,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 35-37),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Unstable Topsoil,Oct-Jan,22,Medium,Medium,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 37-39),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Steep Gradient,Year-round,68,High,High,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 39-41),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Oct-Jan,30,Low,Low,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 41-43),No Road Data Available,,Unknown,Unknown,,,Unknown,Elephant Crossing,Wildlife Corridor,Year-round,12,Low,Low,0,no-road-data,0
A23,A23 Ella-Wellawaya (KM 43-45),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Wet Surface,Oct-Jan,35,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 10-12),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Historical Failure,May-Jul (Monsoon),36,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 12-14),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,52,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 14-16),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Soil Saturation,May-Jul (Monsoon),18,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 16-18),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,High Altitude,Year-round,88,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 18-20),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,River Overflow,May-Jul (Monsoon),9,Low,Low,0,no-road-data,0
A7,A7 Ginigathena Road (KM 20-22),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Speeding,Year-round,45,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 22-24),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,71,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 24-26),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Poor Drainage,May-Jul (Monsoon),22,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 26-28),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,High Altitude,Year-round,145,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 28-30),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,68,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 30-32),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Soil Saturation,May-Jul (Monsoon),15,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 32-34),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,High Altitude,Year-round,95,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 34-36),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Wet Surface,May-Jul (Monsoon),48,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 36-38),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Poor Drainage,May-Jul (Monsoon),12,Low,Low,0,no-road-data,0
A7,A7 Ginigathena Road (KM 38-40),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Unstable Topsoil,May-Jul (Monsoon),16,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 40-42),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Soil Saturation,May-Jul (Monsoon),17,Medium,Medium,0,no-road-data,0
A7,A7 Ginigathena Road (KM 42-44),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,58,High,High,0,no-road-data,0
A7,A7 Ginigathena Road (KM 44-46),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,High Altitude,Year-round,110,High,High,0,no-road-data,0
E01,E01 Southern Expressway (KM 5-10),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Normal Curve,May-Jul / Oct-Dec,55,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 10-15),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Reverse Curve,May-Jul / Oct-Dec,82,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 15-20),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,High Speed,Year-round,45,Medium,Medium,0,no-road-data,0
E01,E01 Southern Expressway (KM 20-25),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Surface Water,May-Jul / Oct-Dec,33,Medium,Medium,0,no-road-data,1
E01,E01 Southern Expressway (KM 25-30),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Low Lying Area,May-Jul (Monsoon),4,Low,Low,0,no-road-data,0
E01,E01 Southern Expressway (KM 30-35),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Reverse Curve,May-Jul / Oct-Dec,76,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 35-40),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Driver Fatigue,Year-round,51,Medium,Medium,0,no-road-data,0
E01,E01 Southern Expressway (KM 40-45),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Normal Curve,May-Jul / Oct-Dec,48,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 45-50),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Reverse Curve,May-Jul / Oct-Dec,69,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 50-55),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,High Speed,Year-round,72,High,High,0,no-road-data,0
E01,E01 Southern Expressway (KM 55-60),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,Basin Overflow,May-Jul (Monsoon),3,Low,Low,0,no-road-data,0
E01,E01 Southern Expressway (KM 60-65),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Surface Water,May-Jul / Oct-Dec,39,Medium,Medium,0,no-road-data,1
E01,E01 Southern Expressway (KM 65-70),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Reverse Curve,May-Jul / Oct-Dec,71,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 70-75),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Wet Surface,May-Jul / Oct-Dec,55,Medium,Medium,0,no-road-data,1
E01,E01 Southern Expressway (KM 75-80),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,High Speed,Year-round,88,High,High,0,no-road-data,0
E01,E01 Southern Expressway (KM 80-85),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Normal Curve,May-Jul / Oct-Dec,52,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 85-90),No Road Data Available,,Unknown,Unknown,,,Unknown,Flash Flood,River Overflow,May-Jul (Monsoon),3,Low,Low,0,no-road-data,0
E01,E01 Southern Expressway (KM 90-95),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Reverse Curve,May-Jul / Oct-Dec,64,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 95-100),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Reverse Curve,May-Jul / Oct-Dec,58,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 100-105),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,High Speed,Year-round,62,Medium,Medium,0,no-road-data,0
E01,E01 Southern Expressway (KM 105-110),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Normal Curve,May-Jul / Oct-Dec,41,Medium,Medium,0,no-road-data,1
E01,E01 Southern Expressway (KM 110-115),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Driver Fatigue,Year-round,77,High,High,0,no-road-data,0
E01,E01 Southern Expressway (KM 115-120),No Road Data Available,,Unknown,Unknown,,,Unknown,Aquaplaning,Surface Water,May-Jul / Oct-Dec,53,High,High,0,no-road-data,1
E01,E01 Southern Expressway (KM 120-125),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Night Traffic,Year-round,49,Medium,Medium,0,no-road-data,0
