Route Name,Disaster/Risk Type,Severity Level,Primary Risk Factor,Month/Season of High Risk,Historical Occurrence Count,Safety Recommendation,
A26 Kandy-Mahiyangana (Bend 15),Earthslip,Medium,Poor Drainage,Oct-Dec (Monsoon),7,Beware of mud on asphalt reducing traction,
A26 Kandy-Mahiyangana (Bend 16),Heavy Mist,Medium,Poor Visibility,Nov-Feb,80,Daytime travel only recommended,
A26 Kandy-Mahiyangana (Bend 17),Accident Blackspot,High,Sharp Bend,Year-round,51,Final descent caution; check brakes,
A5 Ramboda Pass (KM 40-42),Landslide,High,Steep Gradient,May-Jul (Monsoon),18,Avoid during SW monsoon peaks,
A5 Ramboda Pass (KM 42-44),Heavy Mist,High,Poor Visibility,Year-round,150,Night travel highly discouraged,
A5 Ramboda Pass (KM 44-46),Rock Fall,High,Highly Weathered Rock,May-Jul (Monsoon),24,Rank B Risk Area; continuous transit required,
A5 Ramboda Pass (KM 46-48),Earthslip,Medium,Deforestation,May-Jul (Monsoon),12,Watch for minor debris on road,
A5 Ramboda Pass (KM 48-50),Heavy Mist,High,High Altitude,Year-round,180,Use hazard lights in zero visibility,
A5 Ramboda Pass (KM 50-52),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),65,Reduce speed; slippery when wet,
A5 Ramboda Pass (KM 52-54),Landslide,High,Unstable Topsoil,May-Jul (Monsoon),14,Obey NBRO evacuation guidelines,
A5 Ramboda Pass (KM 54-56),Heavy Mist,High,Poor Visibility,Year-round,160,Do not pull over near cliff edges,
A5 Ramboda Pass (KM 56-58),Rock Fall,Medium,Loose Boulders,May-Jul (Monsoon),9,Avoid parking under rock overhangs,
A5 Ramboda Pass (KM 58-60),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),5,Beware of water pooling at curve apex,
A5 Ramboda Pass (KM 60-62),Accident Blackspot,Medium,Sharp Bend,Year-round,55,Sound horn at blind spots,
A5 Ramboda Pass (KM 62-64),Earthslip,High,Saturated Soil,May-Jul (Monsoon),21,Avoid stopping,
A5 Ramboda Pass (KM 64-66),Heavy Mist,High,High Altitude,Year-round,140,Do not overtake,
A5 Ramboda Pass (KM 66-68),Rock Fall,Medium,Weathered Rock,May-Jul (Monsoon),16,Observe falling debris,
A5 Ramboda Pass (KM 68-70),Accident Blackspot,High,Steep Gradient,Year-round,61,Engage low gear,
A5 Ramboda Pass (KM 70-72),Heavy Mist,High,High Altitude,Year-round,135,Fog lights mandatory,
A5 Ramboda Pass (KM 72-74),Landslide,Medium,Poor Drainage,May-Jul (Monsoon),11,Monitor DMC alerts,
A5 Ramboda Pass (KM 74-76),Earthslip,High,Deforestation,May-Jul (Monsoon),25,Watch for debris,
A5 Ramboda Pass (KM 76-78),Accident Blackspot,Medium,Sharp Bend,Year-round,49,Yield to climbing vehicles,
A7 Hatton-Nuwara Eliya (KM 40-42),Landslide,High,Slope Failure,May-Jul (Monsoon),21,Rank A Risk Area; monitor DMC alerts,
A7 Hatton-Nuwara Eliya (KM 42-44),Earthslip,High,Soil Saturation,May-Jul (Monsoon),19,Heavy vehicles proceed with extreme caution,
A7 Hatton-Nuwara Eliya (KM 44-46),Rock Fall,High,Structural Fissures,May-Jul (Monsoon),27,Rank B Risk Area; do not halt,
A7 Hatton-Nuwara Eliya (KM 46-48),Landslide,High,Steep Gradient,May-Jul (Monsoon),33,Rank A Risk Area; highly unstable,
A7 Hatton-Nuwara Eliya (KM 48-50),Heavy Mist,Medium,High Altitude,Year-round,85,Use low-beam headlights,
A7 Hatton-Nuwara Eliya (KM 50-52),Accident Blackspot,High,Sharp Bend,Year-round,64,Reduce speed significantly,
A7 Hatton-Nuwara Eliya (KM 52-54),Earthslip,Medium,Residual Soil,May-Jul (Monsoon),14,Rank B Risk Area; watch for shoulder drop-offs,
A7 Hatton-Nuwara Eliya (KM 54-56),Rock Fall,Medium,Exposed Bedrock,May-Jul (Monsoon),12,Continuous transit advised,
A7 Hatton-Nuwara Eliya (KM 56-58),Earthslip,Medium,Residual Soil,May-Jul (Monsoon),16,Rank B Risk Area; adhere to warning signs,
A7 Hatton-Nuwara Eliya (KM 58-60),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),6,Check for water on road,
A7 Hatton-Nuwara Eliya (KM 60-62),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),48,Slippery when wet,
A7 Hatton-Nuwara Eliya (KM 62-64),Landslide,Medium,Slope Erosion,May-Jul (Monsoon),15,Avoid in extreme weather,
A7 Hatton-Nuwara Eliya (KM 64-66),Heavy Mist,High,Poor Visibility,Year-round,145,Night travel not recommended,
A7 Hatton-Nuwara Eliya (KM 66-68),Accident Blackspot,High,Steep Gradient,Year-round,72,Check brakes frequently,
A7 Hatton-Nuwara Eliya (KM 68-70),Landslide,High,Historical Failure,May-Jul (Monsoon),42,Rank A Risk Area; bypass if heavy rain,
A7 Hatton-Nuwara Eliya (KM 70-72),Heavy Mist,High,Poor Visibility,Year-round,110,Fog lights mandatory,
A7 Hatton-Nuwara Eliya (KM 72-74),Earthslip,Medium,Unstable Topsoil,May-Jul (Monsoon),18,Observe for minor soil collapses,
A7 Hatton-Nuwara Eliya (KM 74-76),Accident Blackspot,Medium,Sharp Bend,Year-round,58,Watch for oncoming estate buses,
A7 Hatton-Nuwara Eliya (KM 76-78),Rock Fall,Low,Weathered Rock,May-Jul (Monsoon),9,Do not park near rock face,
A7 Hatton-Nuwara Eliya (KM 78-80),Heavy Mist,High,High Altitude,Year-round,125,Maintain strict lane discipline,
A7 Hatton-Nuwara Eliya (KM 80-82),Landslide,High,Colluvium Soil,May-Jul (Monsoon),25,Rank A Risk Area near Hakgala buffer,
A7 Hatton-Nuwara Eliya (KM 82-84),Accident Blackspot,High,High Speed,Year-round,68,Overtaking strictly prohibited,
A7 Hatton-Nuwara Eliya (KM 84-86),Earthslip,Medium,Residual Soil,May-Jul (Monsoon),12,Adhere to NBRO warnings,
A7 Hatton-Nuwara Eliya (KM 86-88),Heavy Mist,High,Poor Visibility,Year-round,125,Night travel not recommended,
A7 Hatton-Nuwara Eliya (KM 88-90),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),50,Slippery when wet,
A7 Hatton-Nuwara Eliya (KM 90-92),Rock Fall,Medium,Structural Fissures,May-Jul (Monsoon),19,Rank B Risk Area,
A7 Hatton-Nuwara Eliya (KM 92-94),Landslide,High,Slope Failure,May-Jul (Monsoon),30,Rank A Risk Area,
A7 Hatton-Nuwara Eliya (KM 94-96),Heavy Mist,High,Poor Visibility,Year-round,115,Use hazard lights,
A16 Beragala-Haputale (KM 1-3),Heavy Mist,Medium,High Altitude,Oct-Dec (Monsoon),90,Use low-beam headlights,
A16 Beragala-Haputale (KM 3-5),Earthslip,High,Steep Gradient,Oct-Dec (Monsoon),19,Avoid during heavy continuous rain,
A16 Beragala-Haputale (KM 5-7),Rock Fall,Medium,Loose Boulders,Oct-Dec (Monsoon),11,Do not sound horn near rock faces,
A16 Beragala-Haputale (KM 7-9),Accident Blackspot,High,Sharp Bend,Year-round,47,Use engine braking on descent,
A16 Beragala-HaliEla (KM 9-11),Landslide,High,Head Scarp,Oct-Dec (Monsoon),28,Rank C Risk Area (Kahagolla); highly dangerous,
A16 Beragala-HaliEla (KM 11-13),Earthslip,Medium,Soil Saturation,Oct-Dec (Monsoon),14,Monitor shoulder stability,
A16 Beragala-HaliEla (KM 13-15),Heavy Mist,High,Poor Visibility,Oct-Feb,130,Stop safely if visibility reaches zero,
A16 Beragala-HaliEla (KM 15-17),Accident Blackspot,Medium,Steep Gradient,Year-round,52,Yield to ascending vehicles,
A16 Beragala-Haputale (KM 17-19),Heavy Mist,Medium,High Altitude,Oct-Feb,66,Fog lights mandatory,
A16 Beragala-Haputale (KM 19-21),Earthslip,Medium,Soil Saturation,Oct-Dec (Monsoon),15,Watch for eroded road edges,
A16 Beragala-Haputale (KM 21-23),Rock Fall,Medium,Loose Boulders,Oct-Dec (Monsoon),12,Do not park near slopes,
A16 Beragala-Haputale (KM 23-25),Accident Blackspot,High,Sharp Bend,Year-round,49,Slow down significantly,
A16 Beragala-Haputale (KM 25-27),Earthslip,Medium,Steep Gradient,Oct-Dec (Monsoon),18,Avoid edge driving,
A16 Beragala-Haputale (KM 27-29),Heavy Mist,Low,Poor Visibility,Oct-Feb,45,Drive cautiously in early mornings,
A23 Ella-Wellawaya (KM 1-3),Heavy Mist,Medium,Poor Visibility,Oct-Jan,85,Drive cautiously in early mornings,
A23 Ella-Wellawaya (KM 3-5),Accident Blackspot,High,Sharp Bend,Year-round,73,High tourist traffic; reduce speed,
A23 Ella-Wellawaya (KM 5-7),Rock Fall,Medium,Exposed Bedrock,Oct-Jan,16,Look out for fallen stones on road,
A23 Ella-Wellawaya (KM 7-9),Earthslip,Medium,Unstable Topsoil,Oct-Jan,12,Watch for mud on road,
A23 Ella-Wellawaya (KM 9-11),Accident Blackspot,Medium,Straight to Curve,Year-round,38,Brake before entering curve,
A23 Ella-Wellawaya (KM 11-13),Earthslip,High,Unstable Topsoil,Oct-Jan,31,12th KM post highly prone; avoid in storms,
A23 Ella-Wellawaya (KM 13-15),Flash Flood,Medium,Poor Drainage,Oct-Jan,10,Water crosses road during heavy showers,
A23 Ella-Wellawaya (KM 15-17),Accident Blackspot,High,Steep Gradient,Year-round,66,Frequent brake failures reported; check gears,
A23 Ella-Wellawaya (KM 17-19),Earthslip,Medium,Colluvium Soil,Oct-Jan,14,Slow down near active mud streams,
A23 Ella-Wellawaya (KM 19-21),Heavy Mist,Low,Poor Visibility,Oct-Jan,40,Standard mist precautions,
A23 Ella-Wellawaya (KM 21-23),Accident Blackspot,Medium,Speeding,Year-round,44,Maintain safe speeds,
A23 Ella-Wellawaya (KM 23-25),Elephant Crossing,Medium,Proximity to Park,Year-round,22,Do not feed wildlife; pass quickly,
A23 Ella-Wellawaya (KM 25-27),Accident Blackspot,Medium,Straight to Curve,Year-round,48,Do not accelerate on straight sections,
A23 Ella-Wellawaya (KM 27-29),Flash Flood,Low,Seasonal Streams,Oct-Jan,7,Cross water slowly,
A23 Ella-Wellawaya (KM 29-31),Accident Blackspot,Medium,Straight Road,Year-round,42,Do not speed,
A23 Ella-Wellawaya (KM 31-33),Elephant Crossing,Medium,Wildlife Corridor,Year-round,18,Pass quickly,
A23 Ella-Wellawaya (KM 33-35),Flash Flood,Low,Poor Drainage,Oct-Jan,9,Watch for water crossflows,
A23 Ella-Wellawaya (KM 35-37),Earthslip,Medium,Unstable Topsoil,Oct-Jan,22,Avoid in storms,
A23 Ella-Wellawaya (KM 37-39),Accident Blackspot,High,Steep Gradient,Year-round,68,Engine braking essential,
A23 Ella-Wellawaya (KM 39-41),Heavy Mist,Low,Poor Visibility,Oct-Jan,30,Use headlights,
A23 Ella-Wellawaya (KM 41-43),Elephant Crossing,Low,Wildlife Corridor,Year-round,12,Obey warning signs,
A23 Ella-Wellawaya (KM 43-45),Accident Blackspot,Medium,Wet Surface,Oct-Jan,35,Slippery during monsoon,
A7 Ginigathena Road (KM 10-12),Landslide,High,Historical Failure,May-Jul (Monsoon),36,High risk of road washout; follow DMC alerts,
A7 Ginigathena Road (KM 12-14),Accident Blackspot,High,Sharp Bend,Year-round,52,Slow down; use horn,
A7 Ginigathena Road (KM 14-16),Earthslip,Medium,Soil Saturation,May-Jul (Monsoon),18,Avoid parking on soft shoulders,
A7 Ginigathena Road (KM 16-18),Heavy Mist,Medium,High Altitude,Year-round,88,Use fog lights,
A7 Ginigathena Road (KM 18-20),Flash Flood,Low,River Overflow,May-Jul (Monsoon),9,Do not attempt to cross flooded dips,
A7 Ginigathena Road (KM 20-22),Accident Blackspot,Medium,Speeding,Year-round,45,Observe speed limits,
A7 Ginigathena Road (KM 22-24),Accident Blackspot,High,Sharp Bend,Year-round,71,Overtaking strictly prohibited,
A7 Ginigathena Road (KM 24-26),Earthslip,High,Poor Drainage,May-Jul (Monsoon),22,Avoid edge driving,
A7 Ginigathena Road (KM 26-28),Heavy Mist,High,High Altitude,Year-round,145,Use hazard lights in heavy precipitation,
A7 Ginigathena Road (KM 28-30),Accident Blackspot,High,Sharp Bend,Year-round,68,Strict speed control,
A7 Ginigathena Road (KM 30-32),Landslide,Medium,Soil Saturation,May-Jul (Monsoon),15,Avoid in heavy downpours,
A7 Ginigathena Road (KM 32-34),Heavy Mist,Medium,High Altitude,Year-round,95,Use low beams,
A7 Ginigathena Road (KM 34-36),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),48,Slippery when wet,
A7 Ginigathena Road (KM 36-38),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),12,Do not cross flooded dips,
A7 Ginigathena Road (KM 38-40),Earthslip,Medium,Unstable Topsoil,May-Jul (Monsoon),16,Monitor DMC alerts,
A7 Ginigathena Road (KM 40-42),Landslide,Medium,Soil Saturation,May-Jul (Monsoon),17,High risk of washout,
A7 Ginigathena Road (KM 42-44),Accident Blackspot,High,Sharp Bend,Year-round,58,Sound horn at blind spots,
A7 Ginigathena Road (KM 44-46),Heavy Mist,High,High Altitude,Year-round,110,Night travel highly discouraged,
E01 Southern Expressway (KM 5-10),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",55,Reduce speed below 100km/h in rain
E01 Southern Expressway (KM 10-15),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",82,High Water Film Depth; strictly 80km/h in rain
E01 Southern Expressway (KM 15-20),Accident Blackspot,Medium,High Speed,Year-round,45,Maintain 50m minimum following distance,
E01 Southern Expressway (KM 20-25),Aquaplaning,Medium,Surface Water,"""""May-Jul"," Oct-Dec""""",33,Avoid sudden braking on wet asphalt
E01 Southern Expressway (KM 25-30),Flash Flood,Low,Low Lying Area,May-Jul (Monsoon),4,Watch for shoulder flooding,
E01 Southern Expressway (KM 30-35),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",76,Significant cross-slope transition risk
E01 Southern Expressway (KM 35-40),Accident Blackspot,Medium,Driver Fatigue,Year-round,51,Use rest stops; avoid highway hypnosis,
E01 Southern Expressway (KM 40-45),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",48,Follow variable message signs (VMS) speeds
E01 Southern Expressway (KM 45-50),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",69,Do not use cruise control in the rain
E01 Southern Expressway (KM 50-55),Accident Blackspot,High,High Speed,Year-round,72,Avoid sudden lane changes,
E01 Southern Expressway (KM 55-60),Flash Flood,Low,Basin Overflow,May-Jul (Monsoon),3,Observe RDA warnings,
E01 Southern Expressway (KM 60-65),Aquaplaning,Medium,Surface Water,"""""May-Jul"," Oct-Dec""""",39,Check tire tread depth before entering
E01 Southern Expressway (KM 65-70),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",71,Lane 2 highly susceptible to pooling
E01 Southern Expressway (KM 70-75),Accident Blackspot,Medium,Wet Surface,"""""May-Jul"," Oct-Dec""""",55,Slippery during severe storms
E01 Southern Expressway (KM 75-80),Accident Blackspot,High,High Speed,Year-round,88,Extreme caution required,
E01 Southern Expressway (KM 80-85),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",52,Reduce speed to 70km/h during storms
E01 Southern Expressway (KM 85-90),Flash Flood,Low,River Overflow,May-Jul (Monsoon),3,Observe variable message signs,
E01 Southern Expressway (KM 90-95),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",64,Extreme loss of traction risk
E01 Southern Expressway (KM 95-100),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",58,80km/h maximum in rain
E01 Southern Expressway (KM 100-105),Accident Blackspot,Medium,High Speed,Year-round,62,Maintain following distance,
E01 Southern Expressway (KM 105-110),Aquaplaning,Medium,Normal Curve,"""""May-Jul"," Oct-Dec""""",41,Avoid sudden braking
E01 Southern Expressway (KM 110-115),Accident Blackspot,High,Driver Fatigue,Year-round,77,Take frequent breaks,
E01 Southern Expressway (KM 115-120),Aquaplaning,High,Surface Water,"""""May-Jul"," Oct-Dec""""",53,Do not overtake in heavy rain
E01 Southern Expressway (KM 120-125),Accident Blackspot,Medium,Night Traffic,Year-round,49,Ensure proper vehicle lighting,
E01 Southern Expressway (KM 125-130),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",66,80km/h maximum
E01 Southern Expressway (KM 130-135),Flash Flood,Low,Coastal Inundation,May-Jul (Monsoon),2,Watch for standing water,
E01 Southern Expressway (KM 135-140),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",54,Reduce speed
E01 Southern Expressway (KM 140-145),Accident Blackspot,Medium,Interchange Traffic,Year-round,44,Merge with extreme caution,
B35 Buttala-Kataragama (KM 1-3),Elephant Crossing,Medium,Wildlife Corridor,Year-round,45,Do not travel at dusk/dawn,
B35 Buttala-Kataragama (KM 3-5),Elephant Crossing,High,Aggressive Behavior,Year-round,110,Never feed elephants; windows rolled up,
B35 Buttala-Kataragama (KM 5-7),Accident Blackspot,Medium,Unpaved Edges,Year-round,34,Do not swerve into shoulders for wildlife,
B35 Buttala-Kataragama (KM 7-9),Elephant Crossing,High,Highway Blockage,Year-round,135,Travel behind larger vehicles (trucks/buses),
B35 Buttala-Kataragama (KM 9-11),Elephant Crossing,High,Aggressive Behavior,Year-round,150,Do not use horn against elephants,
B35 Buttala-Kataragama (KM 11-13),Accident Blackspot,High,Poor Lighting,Year-round,55,Night travel strictly not recommended,
B35 Buttala-Kataragama (KM 13-15),Elephant Crossing,High,Highway Blockage,Year-round,125,Do not carry exposed fruits or food,
B35 Buttala-Kataragama (KM 15-17),Flash Flood,Low,Seasonal Streams,Oct-Jan,8,Check road status after heavy rains,
B35 Buttala-Kataragama (KM 17-19),Elephant Crossing,Medium,Wildlife Corridor,Year-round,60,Keep engine running if stopped,
B35 Buttala-Kataragama (KM 19-21),Accident Blackspot,Medium,Speeding,Year-round,42,Maintain maximum 40km/h speed limit,
B35 Buttala-Kataragama (KM 21-23),Elephant Crossing,High,Highway Blockage,Year-round,115,Follow larger vehicles,
B35 Buttala-Kataragama (KM 23-25),Elephant Crossing,Medium,Aggressive Behavior,Year-round,80,Do not honk at elephants,
B35 Buttala-Kataragama (KM 25-27),Accident Blackspot,Medium,Unpaved Edges,Year-round,39,Avoid shoulder driving,
B35 Buttala-Kataragama (KM 27-29),Elephant Crossing,High,Highway Blockage,Year-round,140,Never feed wildlife,
B35 Buttala-Kataragama (KM 29-31),Accident Blackspot,Medium,Speeding,Year-round,48,40km/h max,
B35 Buttala-Kataragama (KM 31-33),Elephant Crossing,High,Wildlife Corridor,Year-round,105,Travel in convoys during daytime,
B35 Buttala-Kataragama (KM 33-35),Flash Flood,Low,Poor Drainage,Oct-Jan,5,Do not cross flowing water,
B35 Buttala-Kataragama (KM 35-37),Accident Blackspot,Medium,Night Traffic,Year-round,33,Night travel heavily restricted,
B35 Buttala-Kataragama (KM 37-39),Elephant Crossing,Medium,Proximity to Park,Year-round,72,Keep windows closed; hide food,
B35 Buttala-Kataragama (KM 39-41),Elephant Crossing,High,Highway Blockage,Year-round,122,Do not attempt to maneuver around elephants,
B35 Buttala-Kataragama (KM 41-43),Accident Blackspot,Medium,Straight Road,Year-round,41,Avoid speeding to outrun wildlife,
B35 Buttala-Kataragama (KM 43-45),Elephant Crossing,Medium,Reserve Border,Year-round,68,Obey DWC signage,
B35 Buttala-Kataragama (KM 45-47),Accident Blackspot,Medium,Mixed Traffic,Year-round,37,Watch for pilgrims,
A9 Kandy-Jaffna (KM 176+100),Accident Blackspot,High,Complex Intersection,Year-round,62,Slow down; strictly adhere to traffic signals,
A9 Kandy-Jaffna (KM 176+700),Accident Blackspot,High,Highway Geometry,Year-round,58,Watch for sudden lane changes,
A9 Kandy-Jaffna (KM 177+000),Accident Blackspot,High,High Speed,Year-round,65,Do not overtake; high fatality zone,
A9 Kandy-Jaffna (KM 298+400),Accident Blackspot,High,Driver Fatigue,Year-round,70,Palai stretch; prone to highway hypnosis,
A9 Kandy-Jaffna (KM 299+100),Accident Blackspot,High,Straight Road,Year-round,82,Extremely high accident rate; enforce limits,
A9 Kandy-Jaffna (KM 300+000),Accident Blackspot,High,High Speed,Year-round,95,Most critical blackspot; speed radar active,
A9 Kandy-Jaffna (KM 301+100),Accident Blackspot,High,Pedestrian Activity,Year-round,64,Watch for crossing pedestrians and cyclists,
A9 Kandy-Jaffna (KM 303+000),Accident Blackspot,High,High Speed,Year-round,88,Frequent fatal bus/van collisions,
A9 Kandy-Jaffna (KM 305+000),Accident Blackspot,High,Geometric Flaw,Year-round,72,Maintain lane discipline strictly,
A9 Kandy-Jaffna (KM 307+000),Accident Blackspot,High,Straight Road,Year-round,69,Take regular breaks to avoid fatigue,
A9 Kandy-Jaffna (KM 308+100),Accident Blackspot,High,Speeding,Year-round,75,Meesalai East section; radar monitoring,
A9 Kandy-Jaffna (KM 309+000),Accident Blackspot,High,Cross Traffic,Year-round,67,Beware of intersecting minor roads,
A9 Kandy-Jaffna (KM 312+200),Accident Blackspot,High,Geometric Flaw,Year-round,80,Overtaking is extremely hazardous,
A9 Kandy-Jaffna (KM 314+100),Accident Blackspot,High,Geometric Flaw,Year-round,76,Do not overtake,
A9 Kandy-Jaffna (KM 315+500),Accident Blackspot,Medium,High Speed,Year-round,61,Enforce speed limits,
A9 Kandy-Jaffna (KM 318+200),Accident Blackspot,High,Pedestrian Activity,Year-round,84,Watch for cyclists,
A9 Kandy-Jaffna (KM 320+000),Accident Blackspot,High,High Speed,Year-round,92,Fatal crash zone,
A1 Colombo-Kandy (KM 34-36),Accident Blackspot,High,Urban Traffic,Year-round,115,Nittambuwa zone; watch for heavy vehicles,
A1 Colombo-Kandy (KM 36-38),Accident Blackspot,High,Pedestrian Activity,Year-round,98,Slow down in densely populated commercial area,
A1 Colombo-Kandy (KM 38-40),Accident Blackspot,High,Complex Junction,Year-round,105,Follow lane markings strictly,
A1 Colombo-Kandy (KM 40-42),Accident Blackspot,Medium,Mixed Traffic,Year-round,76,Beware of sudden stops by route buses,
A1 Colombo-Kandy (KM 42-44),Accident Blackspot,High,Unregulated Access,Year-round,92,Watch for vehicles entering from by-lanes,
A1 Colombo-Kandy (KM 44-46),Accident Blackspot,High,Speeding,Year-round,85,High density of fatal crashes,
A1 Colombo-Kandy (KM 46-48),Accident Blackspot,High,Complex Junction,Year-round,95,Follow lane markings,
A1 Colombo-Kandy (KM 48-50),Accident Blackspot,Medium,Mixed Traffic,Year-round,72,Yield to buses,
A1 Colombo-Kandy (KM 50-52),Accident Blackspot,High,Speeding,Year-round,88,Watch for sudden access entries,
A1 Colombo-Kandy (KM 52-54),Accident Blackspot,High,Severe Congestion,Year-round,110,Extreme caution,
A1 Colombo-Kandy (KM 54-56),Accident Blackspot,Medium,Mixed Traffic,Year-round,80,Yield to heavy freight,
A1 Colombo-Kandy (Kiribathgoda),Accident Blackspot,High,Severe Congestion,Year-round,180,Highest severity score; extreme caution,
A4 Ratnapura (KM 64-66),Earthslip,Medium,Soil Saturation,May-Jul (Monsoon),12,Avoid edge driving [1],
A4 Ratnapura (KM 66-68),Landslide,High,Steep Gradient,May-Jul (Monsoon),18,Check NBRO warnings [1],
A4 Ratnapura (KM 68-70),Accident Blackspot,Medium,Sharp Bend,Year-round,45,Reduce speed [1],
A4 Ratnapura (KM 70-72),Earthslip,High,Poor Drainage,May-Jul (Monsoon),22,Watch for shoulder collapse [1],
A4 Ratnapura (KM 72-74),Rock Fall,Medium,Colluvium Soil,May-Jul (Monsoon),9,Do not park near rock face [1],
A4 Ratnapura (KM 74-76),Accident Blackspot,High,High Speed,Year-round,51,Maintain lane discipline [1],
A4 Ratnapura (KM 76-78),Landslide,Medium,Saturated Slope,May-Jul (Monsoon),15,Avoid in heavy downpours [1],
A4 Ratnapura (KM 78-80),Earthslip,High,Unstable Topsoil,May-Jul (Monsoon),25,Obey temporary road blocks [1],
A4 Ratnapura (KM 80-82),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),8,Check for water pooling [1],
A4 Ratnapura (KM 82-84),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),38,Slippery when wet [1],
A4 Ratnapura (KM 84-86),Landslide,High,Historical Failure,May-Jul (Monsoon),33,Monitor DMC alerts [1],
A4 Ratnapura (KM 86-88),Rock Fall,Medium,Weathered Rock,May-Jul (Monsoon),14,Continuous transit required [1],
A4 Ratnapura (KM 88-90),Earthslip,High,Deforestation,May-Jul (Monsoon),27,Watch for debris [1],
A4 Ratnapura (KM 90-92),Accident Blackspot,High,Steep Gradient,Year-round,62,Engage low gear [1],
A4 Ratnapura (KM 92-94),Landslide,High,Slope Erosion,May-Jul (Monsoon),21,Rank A Risk Area [1],
A4 Ratnapura (KM 94-96),Heavy Mist,Low,High Altitude,May-Jul (Monsoon),40,Use fog lights [1],
A4 Ratnapura (KM 96-98),Earthslip,Medium,Residual Soil,May-Jul (Monsoon),11,Watch for mud on road [1],
A4 Ratnapura (KM 98-100),Accident Blackspot,Medium,Sharp Bend,Year-round,47,Sound horn at blind spots [1],
A4 Ratnapura (KM 100-102),Landslide,High,Soil Saturation,May-Jul (Monsoon),19,Rank B Risk Area [1],
A4 Ratnapura (KM 102-104),Flash Flood,Medium,River Overflow,May-Jul (Monsoon),16,Do not attempt to cross flooded dips [1],
A4 Ratnapura (KM 104-106),Accident Blackspot,High,Complex Intersection,Year-round,73,Slow down [1],
A4 Ratnapura (KM 106-108),Earthslip,High,Steep Gradient,May-Jul (Monsoon),28,Avoid parking on soft shoulders [1],
