judgement_id,profile_id,user_interests,place_id,poi_name,verified_poi_tags,source_name,source_url,reviewer_a_label,reviewer_b_label,final_relevance_label,decision_type,adjudication_note
P13::wikidata-Q15717689,P13,Nature|Wildlife|Adventure,wikidata-Q15717689,Temple of the Sacred Tooth Relic,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q15717689,0,0,0,reviewer_agreement,
P13::wikidata-Q3119056,P13,Nature|Wildlife|Adventure,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Nature,Wikidata,https://www.wikidata.org/wiki/Q3119056,2,2,2,reviewer_agreement,
P13::wikidata-Q5966035,P13,Nature|Wildlife|Adventure,wikidata-Q5966035,Kandy Lake,Nature|City,Wikidata,https://www.wikidata.org/wiki/Q5966035,1,1,1,reviewer_agreement,
P13::wikidata-Q7876953,P13,Nature|Wildlife|Adventure,wikidata-Q7876953,Udawatta Kele Sanctuary,Nature|Wildlife,Wikidata,https://www.wikidata.org/wiki/Q7876953,2,2,2,reviewer_agreement,
P13::osm-node-3276843504,P13,Nature|Wildlife|Adventure,osm-node-3276843504,Ceylon Tea Museum,History|Culture,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,0,0,0,reviewer_agreement,
P13::osm-node-4157023134,P13,Nature|Wildlife|Adventure,osm-node-4157023134,Arthur's Seat,Nature|City,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,1,1,1,reviewer_agreement,
P13::wikidata-Q20859170,P13,Nature|Wildlife|Adventure,wikidata-Q20859170,British Garrison Cemetery,History,Wikidata,https://www.wikidata.org/wiki/Q20859170,0,0,0,reviewer_agreement,
P13::wikidata-Q3217592,P13,Nature|Wildlife|Adventure,wikidata-Q3217592,Lankatilaka Vihara,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q3217592,0,0,0,reviewer_agreement,
P13::wikidata-Q25637940,P13,Nature|Wildlife|Adventure,wikidata-Q25637940,Gadaladeniya Vihara,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q25637940,0,0,0,reviewer_agreement,
P13::wikidata-Q5370021,P13,Nature|Wildlife|Adventure,wikidata-Q5370021,Embekka Devalaya,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q5370021,0,0,0,reviewer_agreement,
P13::wikidata-Q28015701,P13,Nature|Wildlife|Adventure,wikidata-Q28015701,Alawathugoda Saman Devalaya,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q28015701,0,0,0,reviewer_agreement,
P13::osm-node-11017570005,P13,Nature|Wildlife|Adventure,osm-node-11017570005,Giragama Walawwa,History|Culture,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,0,0,0,reviewer_agreement,
P13::wikidata-Q3533580,P13,Nature|Wildlife|Adventure,wikidata-Q3533580,National Museum of Kandy,History|Culture,Wikidata,https://www.wikidata.org/wiki/Q3533580,0,0,0,reviewer_agreement,
P13::wikidata-Q20010653,P13,Nature|Wildlife|Adventure,wikidata-Q20010653,"National Railway Museum, Kadugannawa",History|Culture,Wikidata,https://www.wikidata.org/wiki/Q20010653,0,0,0,reviewer_agreement,
P13::osm-node-11096423467,P13,Nature|Wildlife|Adventure,osm-node-11096423467,Dawson Tower,History|City,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,1,0,1,joint_human_adjudication,Joint human adjudication — both reviewers agreed to retain Reviewer A label.
P13::osm-node-11583843280,P13,Nature|Wildlife|Adventure,osm-node-11583843280,Jodu Ella Water Falls,Nature|Adventure,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,2,2,2,reviewer_agreement,
P13::osm-node-5063761704,P13,Nature|Wildlife|Adventure,osm-node-5063761704,Huluganga Ella Waterfall,Nature|Adventure,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,2,2,2,reviewer_agreement,
P13::osm-node-4440038982,P13,Nature|Wildlife|Adventure,osm-node-4440038982,Kadiyallana Falls,Nature|Adventure,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,2,2,2,reviewer_agreement,
P13::osm-node-4566489017,P13,Nature|Wildlife|Adventure,osm-node-4566489017,Galboda Falls,Nature|Adventure,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,2,2,2,reviewer_agreement,
P13::osm-node-5299675266,P13,Nature|Wildlife|Adventure,osm-node-5299675266,Ambuluwawa,Nature|Adventure|Culture,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,2,1,2,joint_human_adjudication,Joint human adjudication — both reviewers agreed to retain Reviewer A label.
